fecha,producto,region,precio,vendidos,ingreso_total
2026-01-01,Monitor,Norte,281.01,8,2248.08
2026-01-01,Audifonos,Norte,55.87,3,167.61
2026-01-01,Teclado,Centro,48.3,4,193.2
2026-01-01,Teclado,Sur,41.01,8,328.08
2026-01-02,Webcam,Sur,36.01,12,432.12
2026-01-02,Audifonos,Norte,57.65,6,345.9
2026-01-02,Audifonos,Occidente,54.28,11,597.08
2026-01-02,Teclado,Centro,41.76,12,501.12
2026-01-02,Monitor,Occidente,283.97,14,3975.58
2026-01-03,Webcam,Centro,39.06,4,156.24
2026-01-03,Laptop,Centro,857.59,7,6003.13
2026-01-03,Audifonos,Norte,54.78,4,219.12
2026-01-03,Laptop,Occidente,810.13,10,8101.3
2026-01-04,Mouse,Norte,23.65,12,283.8
2026-01-04,Monitor,Centro,306.6,8,2452.8
2026-01-05,Teclado,Sur,44.02,2,88.04
2026-01-05,Monitor,Sur,295.51,6,1773.06
2026-01-05,Mouse,Occidente,23.42,2,46.84
2026-01-05,Mouse,Occidente,27.2,14,380.8
2026-01-06,Webcam,Centro,43.37,8,346.96
2026-01-06,Webcam,Centro,40.17,14,562.38
2026-01-06,Audifonos,Occidente,62.97,5,314.85
2026-01-06,Mouse,Norte,23.9,12,286.8
2026-01-06,Audifonos,Norte,57.56,13,748.28
2026-01-07,Laptop,Centro,787.74,1,787.74
2026-01-07,Monitor,Occidente,270.33,11,2973.63
2026-01-08,Laptop,Occidente,836.64,1,836.64
2026-01-08,Teclado,Norte,48.84,10,488.4
2026-01-08,Laptop,Occidente,858.1,8,6864.8
2026-01-08,Monitor,Sur,275.72,7,1930.04
2026-01-09,Webcam,Occidente,41.33,12,495.96
2026-01-09,Webcam,Centro,40.49,3,121.47
2026-01-09,Audifonos,Centro,62.56,1,62.56
2026-01-09,Audifonos,Sur,56.83,14,795.62
2026-01-10,Teclado,Norte,46.9,10,469.0
2026-01-10,Mouse,Occidente,23.04,7,161.28
2026-01-10,Laptop,Occidente,810.12,4,3240.48
2026-01-10,Webcam,Norte,37.99,13,493.87
2026-01-11,Teclado,Norte,42.56,7,297.92
2026-01-11,Teclado,Centro,41.95,2,83.9
2026-01-11,Mouse,Norte,23.98,5,119.9
2026-01-11,Webcam,Occidente,42.43,12,509.16
2026-01-12,Webcam,Sur,40.31,10,403.1
2026-01-12,Monitor,Norte,289.08,1,289.08
2026-01-12,Laptop,Norte,823.63,9,7412.67
2026-01-12,Monitor,Norte,321.64,7,2251.48
2026-01-12,Webcam,Occidente,40.27,14,563.78
2026-01-13,Laptop,Centro,763.11,8,6104.88
2026-01-13,Teclado,Sur,42.47,8,339.76
2026-01-14,Monitor,Norte,273.89,10,2738.9
2026-01-14,Monitor,Occidente,285.11,2,570.22
2026-01-15,Laptop,Norte,765.57,1,765.57
2026-01-15,Teclado,Norte,49.29,12,591.48
2026-01-15,Webcam,Centro,38.23,1,38.23
2026-01-15,Laptop,Centro,828.91,5,4144.55
2026-01-16,Mouse,Occidente,25.26,7,176.82
2026-01-16,Monitor,Centro,315.7,11,3472.7
2026-01-16,Laptop,Centro,848.5,5,4242.5
2026-01-16,Monitor,Sur,308.01,11,3388.11
2026-01-16,Laptop,Norte,771.32,6,4627.92
2026-01-17,Audifonos,Centro,61.09,11,671.99
2026-01-17,Monitor,Centro,312.67,3,938.01
2026-01-17,Monitor,Occidente,275.77,9,2481.93
2026-01-17,Laptop,Occidente,781.88,2,1563.76
2026-01-17,Laptop,Centro,774.57,9,6971.13
2026-01-18,Webcam,Sur,38.06,12,456.72
2026-01-18,Mouse,Occidente,25.28,12,303.36
2026-01-18,Laptop,Sur,879.4,14,12311.6
2026-01-19,Audifonos,Norte,64.59,7,452.13
2026-01-19,Laptop,Norte,775.87,3,2327.61
2026-01-19,Monitor,Occidente,294.27,1,294.27
2026-01-19,Monitor,Centro,326.14,4,1304.56
2026-01-19,Webcam,Occidente,40.85,3,122.55
2026-01-20,Webcam,Norte,41.31,13,537.03
2026-01-20,Mouse,Occidente,24.03,2,48.06
2026-01-20,Webcam,Centro,41.22,9,370.98
2026-01-20,Monitor,Norte,271.08,14,3795.12
2026-01-20,Audifonos,Occidente,62.96,8,503.68
2026-01-21,Teclado,Norte,43.27,12,519.24
2026-01-21,Teclado,Centro,46.23,6,277.38
2026-01-21,Webcam,Sur,43.78,13,569.14
2026-01-21,Teclado,Sur,48.65,11,535.15
2026-01-22,Audifonos,Sur,61.74,1,61.74
2026-01-22,Audifonos,Occidente,62.67,3,188.01
2026-01-22,Monitor,Centro,316.11,1,316.11
2026-01-23,Monitor,Sur,327.24,5,1636.2
2026-01-23,Webcam,Centro,41.98,5,209.9
2026-01-23,Audifonos,Norte,60.63,3,181.89
2026-01-23,Monitor,Norte,274.52,13,3568.76
2026-01-23,Audifonos,Occidente,64.21,3,192.63
2026-01-24,Mouse,Norte,24.47,6,146.82
2026-01-24,Mouse,Centro,25.35,8,202.8
2026-01-24,Mouse,Occidente,25.86,7,181.02
2026-01-24,Mouse,Centro,25.09,2,50.18
2026-01-24,Mouse,Norte,26.74,9,240.66
2026-01-25,Webcam,Occidente,40.42,10,404.2
2026-01-25,Mouse,Centro,23.78,8,190.24
2026-01-25,Audifonos,Occidente,60.14,9,541.26
2026-01-25,Monitor,Norte,281.66,8,2253.28
2026-01-26,Webcam,Occidente,36.41,3,109.23
2026-01-26,Monitor,Sur,275.64,7,1929.48
2026-01-26,Webcam,Centro,39.72,14,556.08
2026-01-26,Audifonos,Sur,61.09,6,366.54
2026-01-26,Laptop,Occidente,726.21,6,4357.26
2026-01-27,Monitor,Norte,301.33,5,1506.65
2026-01-27,Monitor,Occidente,327.92,7,2295.44
2026-01-27,Monitor,Sur,273.1,4,1092.4
2026-01-27,Webcam,Centro,41.6,8,332.8
2026-01-28,Audifonos,Sur,60.2,14,842.8
2026-01-28,Teclado,Norte,44.09,3,132.27
2026-01-28,Monitor,Sur,274.71,5,1373.55
2026-01-28,Mouse,Norte,22.9,9,206.1
